0.74409	0.12258	0.89247	0.13333	0.08387	0.10968	0.10538	0.13763	0.5
0.47527	0.15054	0.11183	0.17849	0.54194	0.09462	0.06882	0.10538	0.7
0.24301	0.32903	0.08387	0.11398	0.78065	0.14839	0.09677	0.13333	0.3
1.00000	0.15699	0.09462	0.32043	0.18710	0.15484	0.08817	0.11613	0.5
0.10753	0.15269	0.73763	0.11828	0.89247	0.15054	0.09677	0.13118	0
0.31398	0.39570	0.09677	0.12473	0.71398	0.13548	0.08387	0.10968	0.7
0.39570	0.12903	0.06882	0.40000	0.20000	0.21935	0.12258	0.13333	0.3
0.49677	0.06667	0.04301	0.05591	0.52688	0.23441	0.13978	0.18495	0.3
0.68817	0.13763	0.09247	0.12688	0.33118	0.13548	0.09462	0.12903	0.5
0.92688	0.14409	0.73978	0.12258	0.08172	0.11183	0.08817	0.12258	0.5
0.08602	0.13548	0.73118	0.12903	0.92043	0.14194	0.09677	0.12903	0
0.92688	0.14409	0.73978	0.12258	0.07957	0.11183	0.09032	0.12043	0.5
0.07742	0.09892	0.92688	0.17204	0.75054	0.16344	0.10108	0.12258	0
0.34194	0.19140	0.13118	0.19570	0.48172	0.06667	0.04731	0.06882	0.7
0.17419	0.22581	0.94624	0.16559	0.66022	0.09247	0.06022	0.07742	0
0.59785	0.13548	0.08602	0.36559	0.22796	0.14624	0.09247	0.12473	0.5
0.11613	0.15484	0.74409	0.11398	0.88817	0.15914	0.09677	0.12258	0
0.13763	0.17634	0.95484	0.16344	0.69032	0.08817	0.05161	0.06452	0
0.41075	0.15269	0.09247	0.12258	0.61505	0.14194	0.08602	0.11398	0.5
0.93118	0.13978	0.73763	0.14839	0.09032	0.11828	0.09892	0.12473	0.5
0.73978	0.14194	0.91613	0.14194	0.09032	0.12043	0.08817	0.11828	0.5
0.55484	0.14194	0.08602	0.10753	0.48172	0.17419	0.09892	0.12043	0.3
0.13978	0.15054	0.47742	0.12043	0.43441	0.15484	0.07742	0.09032	0
0.11613	0.15699	0.74194	0.11398	0.89032	0.16129	0.09677	0.12258	0
0.58280	0.11613	0.08387	0.35914	0.24301	0.13978	0.09462	0.13333	0.5
0.21290	0.34624	0.13548	0.41720	0.13548	0.12258	0.10323	0.09247	0.7
